stock_index,stock_name,buy_num,buy_shou,sale_num,sale_shou,buy_sale_diff,buy_sale_diff_shou
2353,杰瑞股份,262,1003,730.0,2790.0,-468.0,-1787.0
2217,合力泰,340,6838,817.0,16585.0,-477.0,-9747.0
603882,金域医学,550,814,1030.0,1531.0,-480.0,-717.0
2275,桂林三金,260,1762,743.0,4676.0,-483.0,-2914.0
2277,友阿股份,481,11696,977.0,23458.0,-496.0,-11762.0
2982,湘佳股份,233,226,746.0,717.0,-513.0,-491.0
600313,农发种业,477,12051,1003.0,24853.0,-526.0,-12802.0
601111,中国国航,260,4000,793.0,12248.0,-533.0,-8248.0
2520,日发精机,259,3140,807.0,9656.0,-548.0,-6516.0
601800,中国交建,701,9022,1255.0,16043.0,-554.0,-7021.0
2158,汉钟精机,672,5007,1227.0,9262.0,-555.0,-4255.0
2465,海格通信,1802,14514,2375.0,19272.0,-573.0,-4758.0
2142,宁波银行,709,2779,1301.0,5110.0,-592.0,-2331.0
603290,斯达半导,359,243,970.0,652.0,-611.0,-409.0
728,国元证券,201,2500,830.0,10449.0,-629.0,-7949.0
2230,科大讯飞,1407,4330,2056.0,6344.0,-649.0,-2014.0
603613,国联股份,280,403,935.0,1353.0,-655.0,-950.0
776,广发证券,906,6832,1580.0,11946.0,-674.0,-5114.0
600795,国电电力,289,16064,968.0,53825.0,-679.0,-37761.0
600425,青松建化,372,8258,1065.0,24850.0,-693.0,-16592.0
2204,大连重工,708,15810,1402.0,30796.0,-694.0,-14986.0
600095,哈高科,2221,19175,2932.0,25809.0,-711.0,-6634.0
600900,长江电力,424,2507,1138.0,6780.0,-714.0,-4273.0
733,振华科技,216,1000,931.0,4302.0,-715.0,-3302.0
600391,航发科技,746,3924,1461.0,7609.0,-715.0,-3685.0
600845,宝信软件,664,1221,1395.0,2567.0,-731.0,-1346.0
603976,正川股份,298,1370,1029.0,4700.0,-731.0,-3330.0
601179,中国西电,1023,18644,1763.0,32119.0,-740.0,-13475.0
2507,涪陵榨菜,216,629,961.0,2829.0,-745.0,-2200.0
2369,卓翼科技,4000,44713,4762.0,53129.0,-762.0,-8416.0
601390,中国中铁,204,3809,969.0,18184.0,-765.0,-14375.0
2439,启明星辰,491,1263,1268.0,3214.0,-777.0,-1951.0
603005,晶方科技,1688,2434,2469.0,3559.0,-781.0,-1125.0
600183,生益科技,1014,3656,1809.0,6544.0,-795.0,-2888.0
2506,协鑫集成,1048,38022,1847.0,67759.0,-799.0,-29737.0
600809,山西汾酒,1880,1604,2684.0,2273.0,-804.0,-669.0
2396,星网锐捷,489,1487,1311.0,3923.0,-822.0,-2436.0
2272,川润股份,210,4472,1049.0,22365.0,-839.0,-17893.0
547,航天发展,210,1409,1064.0,7102.0,-854.0,-5693.0
403,双林生物,5655,11082,6519.0,12421.0,-864.0,-1339.0
600720,祁连山,532,3303,1396.0,8614.0,-864.0,-5311.0
860,顺鑫农业,1476,2874,2351.0,4601.0,-875.0,-1727.0
600359,新农开发,752,6713,1629.0,15290.0,-877.0,-8577.0
988,华工科技,270,1330,1151.0,5674.0,-881.0,-4344.0
2157,正邦科技,200,1247,1084.0,6817.0,-884.0,-5570.0
