stock_index,stock_name,yeji_predict,_c3,stock_date
300161,华中数控,业绩预盈,净利润1420万元至1920万元_增长幅度为-14.88%至15.09%,2020-02-03
300179,四方达,业绩大幅上升,净利润11500万元至12500万元_增长幅度为78%至94%,2020-01-09
300179,四方达,业绩大幅上升,净利润3200万元至3700万元_增长幅度为160.13%至200.78%,2020-03-10
300179,四方达,业绩大幅上升,净利润3350万元至3700万元_增长幅度为172.33%至200.78%,2020-03-11
300183,东软载波,业绩预盈,净利润2405.68万元至3254.74万元_增长幅度为-15%至15%,2020-03-31
300187,永清环保,业绩大幅上升,净利润1374.92万元至1649.90万元_增长幅度为50%至80%,2020-03-31
300212,易华录,业绩预盈,净利润5790.43万元至8106.61万元_增长幅度为-25%至5%,2020-03-09
300223,北京君正,业绩大幅上升,净利润5388.75万元至5780.75万元_增长幅度为298.71%至327.72%,2020-01-18
300224,正海磁材,业绩大幅上升,净利润1036.49万元至1243.78万元_增长幅度为50%至80%,2020-03-24
300227,光韵达,业绩大幅上升,净利润1045.34万元至1286.58万元_增长幅度为30%至60%,2020-03-12
300231,银信科技,业绩预盈,净利润1517.18万元至2086.12万元_增长幅度为-20%至10%,2020-02-29
300234,开尔新材,业绩大幅上升,净利润4000万元至4277万元_增长幅度为332.79%至362.76%,2020-03-24
300248,新开普,业绩大幅上升,净利润14416.89万元至16339.14万元_增长幅度为50%至70%,2020-01-02
300255,常山药业,业绩大幅上升,净利润21698.00万元至25897.61万元_增长幅度为55%至85%,2020-01-18
300260,新莱应材,业绩大幅上升,净利润6000.00万元至7000.00万元_增长幅度为55.33%至81.22%,2020-01-04
300280,紫天科技,业绩大幅上升,净利润15200万元至17500万元_增长幅度为93.68%至122.99%,2020-02-03
300295,三六五网,业绩预盈,净利润8758.64万元至10705万元_增长幅度为-10%至10%,2020-01-18
300303,聚飞光电,业绩大幅上升,净利润29563.85万元至34357.99万元_增长幅度为85%至115%,2020-01-11
300331,苏大维格,业绩大幅上升,净利润8373.66万元至10234.47万元_增长幅度为35%至65%,2020-01-09
300347,泰格医药,业绩大幅上升,净利润79539.38万元至90248.51万元_增长幅度为68.45%至91.13%,2020-01-10
300363,博腾股份,业绩大幅上升,净利润4200万元至5000万元_增长幅度为154%至203%,2020-03-28
300368,汇金股份,业绩预盈,净利润4100万元至5210万元_增长幅度为-14.21%至9.02%,2020-01-20
300373,扬杰科技,业绩大幅上升,净利润5083.86万元至5785.08万元_增长幅度为45%至65%,2020-03-16
300384,三联虹普,业绩大幅上升,净利润18095.40万元至19226.37万元_增长幅度为60%至70%,2020-01-07
300387,富邦股份,业绩大幅上升,净利润8550万元至10500万元_增长幅度为30.72%至60.53%,2020-01-09
300402,宝色股份,业绩大幅上升,净利润3050万元至3450万元_增长幅度为108.37%至135.69%,2020-01-15
300403,汉宇集团,业绩预盈,净利润15787.52万元至16438.55万元_增长幅度为-3.00%至1%,2020-01-08
300404,博济医药,业绩预盈,净利润620万元至806万元_增长幅度为-16.22%至8.92%,2020-01-24
300407,凯发电气,业绩大幅上升,净利润7800万元至8200万元_增长幅度为426.18%至453.16%,2020-01-14
300412,迦南科技,业绩大幅上升,净利润5044.88万元至6053.85万元_增长幅度为50%至80%,2020-01-16
300414,中光防雷,业绩大幅上升,净利润1278.20万元至1533.83万元_增长幅度为50%至80%,2020-03-31
300418,昆仑万维,业绩大幅上升,净利润50690.15万元至60168.28万元_增长幅度为33.7%至58.7%,2020-02-27
300427,红相股份,业绩大幅上升,净利润7900万元至9700万元_增长幅度为29.53%至59.04%,2020-03-16
300429,强力新材,业绩预盈,净利润13190万元至16122万元_增长幅度为-10%至10%,2020-01-03
300443,金雷股份,业绩大幅上升,净利润5460.87万元至6484.79万元_增长幅度为60%至90%,2020-02-29
300446,乐凯新材,业绩预盈,净利润9275.65万元至11336.91万元_增长幅度为-10%至10%,2020-01-03
300451,创业慧康,业绩大幅上升,净利润29800万元至33500万元_增长幅度为40.12%至57.51%,2020-01-20
300451,创业慧康,业绩预盈,净利润5300万元至7150万元_增长幅度为-14.67%至15.11%,2020-03-26
300453,三鑫医疗,业绩大幅上升,净利润1004.72万元至1105.19万元_增长幅度为100%至120%,2020-03-28
300462,华铭智能,业绩大幅上升,净利润28934.18万元至30512.41万元_增长幅度为450%至480%,2020-01-07
300480,光力科技,业绩预盈,净利润397.60万元至537.92万元_增长幅度为-15%至15%,2020-03-28
300483,沃施股份,业绩大幅上升,净利润5300.00万元至6300.00万元_增长幅度为36.97%至62.82%,2020-03-16
300487,蓝晓科技,业绩大幅上升,净利润24349.75万元至28646.76万元_增长幅度为70%至100%,2020-01-14
300496,中科创达,业绩大幅上升,净利润23100万元至25100万元_增长幅度为40.59%至52.77%,2020-01-07
300497,富祥股份,业绩大幅上升,净利润8013.59万元至9082.06万元_增长幅度为50%至70%,2020-03-20
