stock_name,stock_index,gainian,gainian_list
山推股份,680,1,垃圾分类
宝钢包装,601968,1,万达概念
山东路桥,498,1,债转股
寿仙谷,603896,1,工业大麻
寒锐钴业,300618,1,小金属
富邦股份,300387,1,生态农业
富瀚微,300613,1,超清视频
富春环保,2479,1,垃圾分类
富临运业,2357,1,充电桩
家家悦,603708,1,新零售
实丰文化,2862,1,二胎概念
居然之家,785,1,新零售
宁波海运,600798,1,海洋经济
宁波建工,601789,1,VPN
宁波中百,600857,1,壳资源
天永智能,603895,1,数字孪生
天广中茂,2509,1,生态农业
天宇股份,300702,1,预亏预减
天奥电子,2935,1,北斗导航
天华超净,300390,1,医疗器械
大连热电,600719,1,东北振兴
大连友谊,679,1,新零售
大湖股份,600257,1,长株潭
天津松江,600225,1,滨海新区
大康农业,2505,1,人造肉
大唐发电,601991,1,核能核电
大博医疗,2901,1,养老金
多喜爱,2761,1,纳米银
塞力斯,603716,1,工业大麻
埃斯顿,2747,1,工业互联
国际实业,159,1,壳资源
国芳集团,601086,1,甘肃
国美通讯,600898,1,预亏预减
大商股份,600694,1,东北振兴
天海防务,300008,1,量子通信
天翔环境,300362,1,预亏预减
天铁股份,300587,1,送转预期
宁波东力,2164,1,昨日涨停
宁沪高速,600377,1,QFII重仓
宁德时代,300750,1,送转预期
宁夏建材,600449,1,一带一路
威华股份,2240,1,稀土永磁
好莱客,603898,1,智能家居
好当家,600467,1,海洋经济
奥赛康,2755,1,超级真菌
奥美医疗,2950,1,口罩
奥瑞金,2701,1,社保重仓
奇正藏药,2287,1,独家药品
太平洋,601099,1,券商概念
天龙集团,300063,1,网红直播
天龙股份,603266,1,胎压监测
天龙光电,300029,1,蓝宝石
天齐锂业,2466,1,基金重仓
天鹅股份,603029,1,网络安全
天风证券,601162,1,券商概念
天顺股份,2800,1,快递概念
巴安水务,300262,1,海绵城市
洁特生物,688026,1,口罩
洪涛股份,2325,1,在线教育
济民制药,603222,1,人造肉
邦宝益智,603398,1,二胎概念
道氏技术,300409,1,石墨烯
通鼎互联,2491,1,网络安全
通达股份,2560,1,军民融合
通达电气,603390,1,胎压监测
通程控股,419,1,长株潭
通威股份,600438,1,HIT电池
通光线缆,300265,1,昨日连板
郑州煤电,600121,1,参股券商
透景生命,300642,1,基因测序
迦南科技,300412,1,预亏预减
连云港,601008,1,预亏预减
远大控股,626,1,贬值受益
远兴能源,683,1,化工原料
迈克生物,300463,1,基因测序
迈为股份,300751,1,HIT电池
达意隆,2209,1,互联金融
辰欣药业,603367,1,送转预期
迪瑞医疗,300396,1,医疗器械
辰安科技,300523,1,国产软件
郴电国际,600969,1,长株潭
重庆啤酒,600132,1,QFII重仓
