id,stock_index,stock_name,jijin_num,stock_date,day,jijin_date
1,603456,九洲药业,10,2020_02_20,2020_02_20,2019-12-31
1,603328,依顿电子,10,2020_02_20,2020_02_20,2019-12-31
2,300438,鹏辉能源,10,2020_02_20,2020_02_20,2019-12-31
2,300418,昆仑万维,10,2020_02_20,2020_02_20,2019-12-31
1,603678,火炬电子,10,2020_02_20,2020_02_20,2019-12-31
2,300457,赢合科技,10,2020_02_20,2020_02_20,2019-12-31
1,600996,贵广网络,10,2020_02_20,2020_02_20,2019-9-30
1,603179,新泉股份,10,2020_02_20,2020_02_20,2019-12-31
1,603096,新经典,10,2020_02_20,2020_02_20,2019-12-31
1,688008,澜起科技,10,2020_02_20,2020_02_20,2019-12-31
2,000963,华东医药,9,2020_02_20,2020_02_20,2019-12-31
1,600533,栖霞建设,9,2020_02_20,2020_02_20,2019-9-30
1,600894,广日股份,9,2020_02_20,2020_02_20,2019-9-30
2,000423,东阿阿胶,9,2020_02_20,2020_02_20,2019-12-31
1,600055,万东医疗,9,2020_02_20,2020_02_20,2019-9-30
1,600704,物产中大,9,2020_02_20,2020_02_20,2019-12-31
2,000723,美锦能源,9,2020_02_20,2020_02_20,2019-12-31
1,600643,爱建集团,9,2020_02_20,2020_02_20,2019-12-31
1,600482,中国动力,9,2020_02_20,2020_02_20,2019-12-31
2,000988,华工科技,9,2020_02_20,2020_02_20,2019-12-31
2,000636,风华高科,9,2020_02_20,2020_02_20,2019-12-31
2,000656,金科股份,9,2020_02_20,2020_02_20,2019-12-31
2,002195,二三四五,9,2020_02_20,2020_02_20,2019-9-30
2,300070,碧水源,9,2020_02_20,2020_02_20,2019-12-31
1,600998,九州通,9,2020_02_20,2020_02_20,2019-12-31
1,601003,柳钢股份,9,2020_02_20,2020_02_20,2019-12-31
2,002258,利尔化学,9,2020_02_20,2020_02_20,2019-12-31
1,601717,郑煤机,9,2020_02_20,2020_02_20,2019-12-31
2,002655,共达电声,9,2020_02_20,2020_02_20,2019-9-30
2,002367,康力电梯,9,2020_02_20,2020_02_20,2019-12-31
2,300322,硕贝德,9,2020_02_20,2020_02_20,2019-9-30
2,300133,华策影视,9,2020_02_20,2020_02_20,2019-12-31
2,002690,美亚光电,9,2020_02_20,2020_02_20,2019-12-31
2,300394,天孚通信,9,2020_02_20,2020_02_20,2019-12-31
2,300657,弘信电子,9,2020_02_20,2020_02_20,2019-12-31
1,603866,桃李面包,9,2020_02_20,2020_02_20,2019-12-31
2,300659,中孚信息,9,2020_02_20,2020_02_20,2019-12-31
1,603127,昭衍新药,9,2020_02_20,2020_02_20,2019-12-31
2,000547,航天发展,9,2020_02_20,2020_02_20,2019-12-31
1,603520,司太立,9,2020_02_20,2020_02_20,2019-12-31
1,688188,柏楚电子,9,2020_02_20,2020_02_20,2019-12-31
1,688388,嘉元科技,9,2020_02_20,2020_02_20,2019-12-31
1,688039,当虹科技,9,2020_02_20,2020_02_20,2019-12-31
2,000932,华菱钢铁,8,2020_02_20,2020_02_20,2019-12-31
1,600170,上海建工,8,2020_02_20,2020_02_20,2019-12-31
1,600177,雅戈尔,8,2020_02_20,2020_02_20,2019-12-31
1,600580,卧龙电驱,8,2020_02_20,2020_02_20,2019-12-31
1,600546,山煤国际,8,2020_02_20,2020_02_20,2019-12-31
1,600449,宁夏建材,8,2020_02_20,2020_02_20,2019-12-31
1,600195,中牧股份,8,2020_02_20,2020_02_20,2019-12-31
1,600026,中远海能,8,2020_02_20,2020_02_20,2019-12-31
1,600111,北方稀土,8,2020_02_20,2020_02_20,2019-12-31
1,600795,国电电力,8,2020_02_20,2020_02_20,2019-12-31
1,600739,辽宁成大,8,2020_02_20,2020_02_20,2019-12-31
2,000997,新大陆,8,2020_02_20,2020_02_20,2019-12-31
1,600143,金发科技,8,2020_02_20,2020_02_20,2019-12-31
2,000983,西山煤电,8,2020_02_20,2020_02_20,2019-12-31
1,601555,东吴证券,8,2020_02_20,2020_02_20,2019-12-31
1,601600,中国铝业,8,2020_02_20,2020_02_20,2019-12-31
2,002614,奥佳华,8,2020_02_20,2020_02_20,2019-12-31
2,300223,北京君正,8,2020_02_20,2020_02_20,2019-12-31
2,002343,慈文传媒,8,2020_02_20,2020_02_20,2019-12-31
2,002399,海普瑞,8,2020_02_20,2020_02_20,2019-12-31
2,300009,安科生物,8,2020_02_20,2020_02_20,2019-12-31
1,601928,凤凰传媒,8,2020_02_20,2020_02_20,2019-12-31
1,601965,中国汽研,8,2020_02_20,2020_02_20,2019-12-31
1,600862,中航高科,8,2020_02_20,2020_02_20,2019-12-31
2,000902,新洋丰,8,2020_02_20,2020_02_20,2019-9-30
2,002695,煌上煌,8,2020_02_20,2020_02_20,2019-12-31
2,002727,一心堂,8,2020_02_20,2020_02_20,2019-12-31
2,002706,良信电器,8,2020_02_20,2020_02_20,2019-12-31
2,002815,崇达技术,8,2020_02_20,2020_02_20,2019-12-31
1,603515,欧普照明,8,2020_02_20,2020_02_20,2019-12-31
1,603690,至纯科技,8,2020_02_20,2020_02_20,2019-12-31
1,603019,中科曙光,8,2020_02_20,2020_02_20,2019-12-31
1,601838,成都银行,8,2020_02_20,2020_02_20,2019-12-31
2,002833,弘亚数控,8,2020_02_20,2020_02_20,2019-12-31
1,603208,江山欧派,8,2020_02_20,2020_02_20,2019-12-31
2,300633,开立医疗,8,2020_02_20,2020_02_20,2019-12-31
2,300604,长川科技,8,2020_02_20,2020_02_20,2019-12-31
2,300571,平治信息,8,2020_02_20,2020_02_20,2019-12-31
2,300476,胜宏科技,8,2020_02_20,2020_02_20,2019-12-31
2,300616,尚品宅配,8,2020_02_20,2020_02_20,2019-12-31
2,002876,三利谱,8,2020_02_20,2020_02_20,2019-12-31
2,300487,蓝晓科技,8,2020_02_20,2020_02_20,2019-12-31
1,603136,天目湖,8,2020_02_20,2020_02_20,2019-12-31
1,603801,志邦家居,8,2020_02_20,2020_02_20,2019-12-31
2,000018,神州长城,8,2020_02_20,2020_02_20,2018-12-31
2,300709,精研科技,8,2020_02_20,2020_02_20,2019-12-31
1,603516,淳中科技,8,2020_02_20,2020_02_20,2019-12-31
1,601319,中国人保,8,2020_02_20,2020_02_20,2019-12-31
2,001965,招商公路,8,2020_02_20,2020_02_20,2019-12-31
1,601512,中新集团,8,2020_02_20,2020_02_20,2019-12-31
2,300773,拉卡拉,8,2020_02_20,2020_02_20,2019-12-31
2,002959,小熊电器,8,2020_02_20,2020_02_20,2019-9-30
1,688012,中微公司,8,2020_02_20,2020_02_20,2019-12-31
1,688363,华熙生物,8,2020_02_20,2020_02_20,2019-12-31
1,688358,祥生医疗,8,2020_02_20,2020_02_20,2019-12-31
2,000921,海信家电,7,2020_02_20,2020_02_20,2019-12-31
1,600167,联美控股,7,2020_02_20,2020_02_20,2019-12-31
1,600372,中航电子,7,2020_02_20,2020_02_20,2019-12-31
1,600820,隧道股份,7,2020_02_20,2020_02_20,2019-12-31
1,600260,凯乐科技,7,2020_02_20,2020_02_20,2019-9-30
2,000910,大亚圣象,7,2020_02_20,2020_02_20,2019-12-31
1,600089,特变电工,7,2020_02_20,2020_02_20,2019-9-30
1,600063,皖维高新,7,2020_02_20,2020_02_20,2019-12-31
2,000999,华润三九,7,2020_02_20,2020_02_20,2019-12-31
1,600633,浙数文化,7,2020_02_20,2020_02_20,2019-12-31
1,600993,马应龙,7,2020_02_20,2020_02_20,2019-12-31
2,000411,英特集团,7,2020_02_20,2020_02_20,2019-9-30
