id,stock_index,stock_name,jzcsyl,stock_date
2,002953,日丰股份,0.1222,2020_02_22
2,300813,泰林生物,0.1222,2020_02_22
1,600419,天润乳业,0.1222,2020_02_22
2,002360,同德化工,0.1221,2020_02_22
1,603040,新坐标,0.122,2020_02_22
1,601021,春秋航空,0.122,2020_02_22
2,000961,中南建设,0.122,2020_02_22
1,601009,南京银行,0.1219,2020_02_22
2,002937,兴瑞科技,0.1219,2020_02_22
1,600285,羚锐制药,0.1218,2020_02_22
2,300286,安科瑞,0.1217,2020_02_22
1,600548,深高速,0.1216,2020_02_22
1,603332,苏州龙杰,0.1216,2020_02_22
2,300599,雄塑科技,0.1214,2020_02_22
2,300797,钢研纳克,0.1213,2020_02_22
2,002222,福晶科技,0.1212,2020_02_22
1,603600,永艺股份,0.1212,2020_02_22
2,300785,值得买,0.1209,2020_02_22
2,002815,崇达技术,0.1209,2020_02_22
1,601636,旗滨集团,0.1208,2020_02_22
1,600885,宏发股份,0.1207,2020_02_22
2,002728,特一药业,0.1206,2020_02_22
1,600803,新奥股份,0.1206,2020_02_22
1,600857,宁波中百,0.1204,2020_02_22
1,603197,保隆科技,0.1204,2020_02_22
2,300753,爱朋医疗,0.1203,2020_02_22
2,002142,宁波银行,0.1202,2020_02_22
1,688033,天宜上佳,0.1202,2020_02_22
2,300446,乐凯新材,0.1202,2020_02_22
1,600323,瀚蓝环境,0.1202,2020_02_22
2,002050,三花智控,0.1201,2020_02_22
1,603351,威尔药业,0.1201,2020_02_22
1,603666,亿嘉和,0.1199,2020_02_22
2,002668,奥马电器,0.1197,2020_02_22
2,002318,久立特材,0.1197,2020_02_22
1,601515,东风股份,0.1196,2020_02_22
2,300768,迪普科技,0.1195,2020_02_22
1,603298,杭叉集团,0.1195,2020_02_22
2,002139,拓邦股份,0.1194,2020_02_22
2,000023,深天地A,0.1192,2020_02_22
2,002398,垒知集团,0.1191,2020_02_22
2,002909,集泰股份,0.119,2020_02_22
2,002275,桂林三金,0.1189,2020_02_22
2,002215,诺普信,0.1189,2020_02_22
1,603429,集友股份,0.1189,2020_02_22
1,601997,贵阳银行,0.1187,2020_02_22
2,002568,百润股份,0.1187,2020_02_22
1,600305,恒顺醋业,0.1186,2020_02_22
2,300570,太辰光,0.1186,2020_02_22
1,600020,中原高速,0.1185,2020_02_22
1,600449,宁夏建材,0.1184,2020_02_22
2,002788,鹭燕医药,0.1184,2020_02_22
1,603823,百合花,0.1183,2020_02_22
2,002557,洽洽食品,0.1182,2020_02_22
1,603111,康尼机电,0.1182,2020_02_22
1,601799,星宇股份,0.1181,2020_02_22
1,603008,喜临门,0.1181,2020_02_22
1,601966,玲珑轮胎,0.118,2020_02_22
1,688058,宝兰德,0.118,2020_02_22
1,603808,歌力思,0.118,2020_02_22
1,603010,万盛股份,0.118,2020_02_22
2,002737,葵花药业,0.1179,2020_02_22
1,601668,中国建筑,0.1179,2020_02_22
2,002768,国恩股份,0.1177,2020_02_22
2,002763,汇洁股份,0.1176,2020_02_22
2,002759,天际股份,0.1175,2020_02_22
1,600810,神马股份,0.1174,2020_02_22
2,300160,秀强股份,0.1173,2020_02_22
1,601077,渝农商行,0.1173,2020_02_22
2,002003,伟星股份,0.1173,2020_02_22
2,002088,鲁阳节能,0.1172,2020_02_22
2,300787,海能实业,0.1172,2020_02_22
2,002732,燕塘乳业,0.1171,2020_02_22
1,688389,普门科技,0.1171,2020_02_22
1,603025,大豪科技,0.1169,2020_02_22
1,603915,国茂股份,0.1169,2020_02_22
1,600673,东阳光,0.1169,2020_02_22
1,600512,腾达建设,0.1167,2020_02_22
2,002698,博实股份,0.1166,2020_02_22
1,600197,伊力特,0.1166,2020_02_22
1,600328,兰太实业,0.1164,2020_02_22
2,002233,塔牌集团,0.1163,2020_02_22
2,300476,胜宏科技,0.1161,2020_02_22
1,603819,神力股份,0.1161,2020_02_22
1,603393,新天然气,0.116,2020_02_22
2,300043,星辉娱乐,0.116,2020_02_22
2,000046,泛海控股,0.1159,2020_02_22
2,300341,麦克奥迪,0.1157,2020_02_22
2,000429,粤高速A,0.1155,2020_02_22
2,300438,鹏辉能源,0.1155,2020_02_22
1,603992,松霖科技,0.1153,2020_02_22
2,002563,森马服饰,0.1152,2020_02_22
1,688100,威胜信息,0.1151,2020_02_22
2,300701,森霸传感,0.1151,2020_02_22
1,603103,横店影视,0.115,2020_02_22
2,002853,皮阿诺,0.1149,2020_02_22
1,603113,金能科技,0.1148,2020_02_22
2,002221,东华能源,0.1148,2020_02_22
2,000997,新大陆,0.1148,2020_02_22
2,300394,天孚通信,0.1147,2020_02_22
1,600546,山煤国际,0.1147,2020_02_22
1,603916,苏博特,0.1147,2020_02_22
2,002971,和远气体,0.1144,2020_02_22
1,603326,我乐家居,0.1142,2020_02_22
1,600233,圆通速递,0.1142,2020_02_22
1,600644,乐山电力,0.1142,2020_02_22
1,688021,奥福环保,0.1142,2020_02_22
1,600660,福耀玻璃,0.1142,2020_02_22
1,600018,上港集团,0.1141,2020_02_22
1,603018,中设集团,0.1141,2020_02_22
1,603669,灵康药业,0.1141,2020_02_22
2,002918,蒙娜丽莎,0.114,2020_02_22
1,600871,石化油服,0.1139,2020_02_22
2,300757,罗博特科,0.1139,2020_02_22
2,002727,一心堂,0.1138,2020_02_22
2,300649,杭州园林,0.1137,2020_02_22
1,600702,舍得酒业,0.1135,2020_02_22
2,002587,奥拓电子,0.1135,2020_02_22
1,600383,金地集团,0.1135,2020_02_22
2,000913,钱江摩托,0.1134,2020_02_22
1,601001,大同煤业,0.1134,2020_02_22
1,688139,海尔生物,0.1132,2020_02_22
2,002352,顺丰控股,0.113,2020_02_22
2,000002,万科A,0.1129,2020_02_22
1,600750,江中药业,0.1128,2020_02_22
1,603885,吉祥航空,0.1127,2020_02_22
1,600062,华润双鹤,0.1127,2020_02_22
2,000065,北方国际,0.1127,2020_02_22
2,000952,广济药业,0.1126,2020_02_22
2,300789,唐源电气,0.1124,2020_02_22
2,300808,久量股份,0.1124,2020_02_22
1,603186,华正新材,0.1123,2020_02_22
1,600987,航民股份,0.1121,2020_02_22
1,600307,酒钢宏兴,0.112,2020_02_22
2,002078,太阳纸业,0.112,2020_02_22
1,603611,诺力股份,0.112,2020_02_22
1,603127,昭衍新药,0.112,2020_02_22
2,300316,晶盛机电,0.1118,2020_02_22
2,300502,新易盛,0.1117,2020_02_22
2,002098,浔兴股份,0.1116,2020_02_22
1,600177,雅戈尔,0.1116,2020_02_22
1,600886,国投电力,0.1114,2020_02_22
1,603218,日月股份,0.1114,2020_02_22
1,600511,国药股份,0.1114,2020_02_22
1,603108,润达医疗,0.1113,2020_02_22
1,600056,中国医药,0.1113,2020_02_22
1,601216,君正集团,0.1112,2020_02_22
2,002952,亚世光电,0.1111,2020_02_22
1,603328,依顿电子,0.111,2020_02_22
1,688268,华特气体,0.111,2020_02_22
2,002116,中国海诚,0.111,2020_02_22
1,601006,大秦铁路,0.111,2020_02_22
1,603878,武进不锈,0.1109,2020_02_22
2,300590,移为通信,0.1107,2020_02_22
2,002489,浙江永强,0.1106,2020_02_22
1,603377,东方时尚,0.1106,2020_02_22
2,002923,润都股份,0.1106,2020_02_22
1,603096,新经典,0.1105,2020_02_22
2,000703,恒逸石化,0.1105,2020_02_22
1,601658,邮储银行,0.1102,2020_02_22
1,601019,山东出版,0.1102,2020_02_22
1,601166,兴业银行,0.1102,2020_02_22
1,600897,厦门空港,0.1102,2020_02_22
1,601088,中国神华,0.1099,2020_02_22
1,688020,方邦股份,0.1099,2020_02_22
2,300009,安科生物,0.1097,2020_02_22
1,601939,建设银行,0.1096,2020_02_22
1,603713,密尔克卫,0.1096,2020_02_22
1,600188,兖州煤业,0.1095,2020_02_22
2,000785,居然之家,0.1094,2020_02_22
2,002381,双箭股份,0.1091,2020_02_22
2,000723,美锦能源,0.1091,2020_02_22
2,002648,卫星石化,0.1089,2020_02_22
2,300543,朗科智能,0.1089,2020_02_22
1,603588,高能环境,0.1088,2020_02_22
2,002294,信立泰,0.1086,2020_02_22
1,600113,浙江东日,0.1086,2020_02_22
1,603967,中创物流,0.1085,2020_02_22
2,002038,双鹭药业,0.1084,2020_02_22
2,002957,科瑞技术,0.1084,2020_02_22
2,300684,中石科技,0.1082,2020_02_22
1,603898,好莱客,0.1081,2020_02_22
2,002846,英联股份,0.108,2020_02_22
1,601677,明泰铝业,0.108,2020_02_22
1,600850,华东电脑,0.1078,2020_02_22
1,603309,维力医疗,0.1076,2020_02_22
1,600727,鲁北化工,0.1075,2020_02_22
1,603283,赛腾股份,0.1075,2020_02_22
2,000993,闽东电力,0.1074,2020_02_22
1,600984,建设机械,0.1073,2020_02_22
2,002641,永高股份,0.1072,2020_02_22
1,603970,中农立华,0.107,2020_02_22
1,601900,南方传媒,0.107,2020_02_22
1,603927,中科软,0.1069,2020_02_22
2,300795,米奥兰特,0.1068,2020_02_22
2,002019,亿帆医药,0.1067,2020_02_22
1,600053,九鼎投资,0.1067,2020_02_22
2,000581,威孚高科,0.1067,2020_02_22
1,601330,绿色动力,0.1067,2020_02_22
2,300285,国瓷材料,0.1067,2020_02_22
1,600901,江苏租赁,0.1066,2020_02_22
2,002332,仙琚制药,0.1066,2020_02_22
2,002946,新乳业,0.1066,2020_02_22
2,002802,洪汇新材,0.1066,2020_02_22
1,603260,合盛硅业,0.1064,2020_02_22
2,002958,青农商行,0.1064,2020_02_22
2,002695,煌上煌,0.1063,2020_02_22
2,002602,世纪华通,0.1063,2020_02_22
1,600521,华海药业,0.1063,2020_02_22
2,002949,华阳国际,0.1061,2020_02_22
2,002892,科力尔,0.1061,2020_02_22
1,600626,申达股份,0.106,2020_02_22
2,002083,孚日股份,0.106,2020_02_22
2,002756,永兴材料,0.106,2020_02_22
1,600388,龙净环保,0.1058,2020_02_22
2,002025,航天电器,0.1055,2020_02_22
1,600176,中国巨石,0.1055,2020_02_22
1,601916,浙商银行,0.1054,2020_02_22
1,603968,醋化股份,0.1054,2020_02_22
1,600741,华域汽车,0.1054,2020_02_22
2,300810,中科海讯,0.1053,2020_02_22
2,300616,尚品宅配,0.1053,2020_02_22
1,603800,道森股份,0.1052,2020_02_22
1,601567,三星医疗,0.1051,2020_02_22
2,300594,朗进科技,0.1051,2020_02_22
2,300233,金城医药,0.1051,2020_02_22
1,603797,联泰环保,0.105,2020_02_22
1,603086,先达股份,0.105,2020_02_22
2,300309,吉艾科技,0.1049,2020_02_22
1,603060,国检集团,0.1048,2020_02_22
2,002001,新和成,0.1048,2020_02_22
2,000732,泰禾集团,0.1048,2020_02_22
1,603416,信捷电气,0.1047,2020_02_22
2,300639,凯普生物,0.1047,2020_02_22
2,002039,黔源电力,0.1046,2020_02_22
1,600535,天士力,0.1046,2020_02_22
2,002831,裕同科技,0.1044,2020_02_22
2,300439,美康生物,0.1044,2020_02_22
2,300817,双飞股份,0.1042,2020_02_22
1,601298,青岛港,0.1042,2020_02_22
1,603458,勘设股份,0.1042,2020_02_22
2,002399,海普瑞,0.1041,2020_02_22
2,002036,联创电子,0.104,2020_02_22
2,000546,金圆股份,0.104,2020_02_22
1,600093,易见股份,0.104,2020_02_22
2,003816,中国广核,0.1038,2020_02_22
2,300019,硅宝科技,0.1038,2020_02_22
1,600007,中国国贸,0.1037,2020_02_22
2,002615,哈尔斯,0.1037,2020_02_22
2,002951,金时科技,0.1036,2020_02_22
2,002444,巨星科技,0.1036,2020_02_22
1,600325,华发股份,0.1034,2020_02_22
2,300234,开尔新材,0.1033,2020_02_22
2,300522,世名科技,0.1032,2020_02_22
1,600674,川投能源,0.1032,2020_02_22
1,603912,佳力图,0.1032,2020_02_22
2,000910,大亚圣象,0.1032,2020_02_22
1,600211,西藏药业,0.1031,2020_02_22
1,600761,安徽合力,0.1031,2020_02_22
1,603806,福斯特,0.103,2020_02_22
1,603989,艾华集团,0.1029,2020_02_22
1,603345,安井食品,0.1028,2020_02_22
1,688018,乐鑫科技,0.1028,2020_02_22
1,600025,华能水电,0.1028,2020_02_22
1,601952,苏垦农发,0.1026,2020_02_22
1,603598,引力传媒,0.1026,2020_02_22
2,000637,茂化实华,0.1026,2020_02_22
1,603538,美诺华,0.1025,2020_02_22
1,600048,保利地产,0.1025,2020_02_22
2,002014,永新股份,0.1024,2020_02_22
2,300531,优博讯,0.1024,2020_02_22
