招商深证100指数C,1.58,35.54,13.3,12.29,1.48,美的集团_五 粮 液_立讯精密_格力电器_海康威视_万 科Ａ_迈瑞医疗_东方财富_宁德时代_京东方Ａ,300760_000725_300059_300750_000002_002415_000333_000651_000858_002475
招商深证100指数A,1.58,35.54,13.3,12.29,1.48,美的集团_五 粮 液_海康威视_格力电器_立讯精密_万 科Ａ_迈瑞医疗_东方财富_宁德时代_京东方Ａ,300760_000725_300059_300750_000002_002415_000333_000651_000858_002475
招商中证煤炭等权指数分级B,0.56,25.84,9.73,8.92,0.93,平煤股份_恒源煤电_西山煤电_大同煤业_宏达矿业_露天煤业_*ST安煤_淮北矿业_冀中能源_陕西煤业,601225_000983_000937_600971_600532_600397_601666_601001_600985_002128
汇添富中证生物科技指数(LOF)C,1.51,62.63,12.94,12.35,1.33,智飞生物_长春高新_华兰生物_迈瑞医疗_沃森生物_康泰生物_药明康德_恒瑞医药_泰格医药_复星医药,300760_000661_300142_002007_300347_300601_600276_603259_600196_300122
南方中证互联网指数分级,1.11,46.76,9.13,8.66,1.1,海康威视_立讯精密_用友网络_TCL 集团_恒生电子_科大讯飞_东方财富_广联达_京东方Ａ_中兴通讯,000100_000725_300059_600570_000063_600588_002415_002410_002230_002475
鹏扬中证500质量成长指数C,1.67,51.39,10.59,10.67,1.51,桃李面包_浙江鼎力_江苏租赁_玲珑轮胎_露天煤业_吉比特_安琪酵母_巨星科技_昆仑万维,601966_600901_600298_002444_603338_300418_603444_603866_002128
博时中证500指数增强A,1.31,41.14,7.47,7.29,1.5,金发科技_中顺洁柔_涪陵榨菜_鱼跃医疗_中油工程_天邦股份_蓝帆医疗_威孚高科_明阳智能_万孚生物,300482_000581_002382_600339_002507_002124_002511_600143_002223_601615
中融中证煤炭指数分级B,0.79,31.45,12.53,11.62,0.77,中国神华_平煤股份_中煤能源_美锦能源_西山煤电_永泰能源_潞安环能_兖州煤业_阳泉煤业_陕西煤业,601225_000983_601088_000723_601898_600348_600157_600188_601699_601666
信诚中证智能家居指数分级A,0.58,35.04,5.62,5.44,0.4,北斗星通_立讯精密_欣旺达_科沃斯_紫光国微_蓝思科技_良信电器_高德红外_中科创达_歌尔股份,300496_002706_002414_300207_002151_002241_002049_603486_300433_002475
富国中证体育产业指数分级A,1.96,56.31,12.56,11.79,1.62,三七互娱_中体产业_奥瑞金_金达威_比音勒芬_吉比特_宝通科技_浙数文化_完美世界_昆仑万维,002555_600158_300418_603444_600633_002701_300031_002832_002626_002624
工银中证传媒指数分级,1.7,49.77,9.84,12.23,1.34,世纪华通_三七互娱_东方明珠_利欧股份_分众传媒_芒果超媒_吉比特_光线传媒_完美世界_昆仑万维,002555_300413_600637_002131_002602_300418_603444_002624_002027_300251
