bankuai,top_stock_name,cnt,rank
上海本地,申通地铁,9,3
消费电子,创世纪,9,5
低碳经济,航天机电,9,3
稀缺资源,*ST融捷,9,5
本月解禁,通光线缆,9,4
本月解禁,嘉寓股份,9,5
物联网,华鹏飞,9,5
军工航天,华昌达,9,4
国防军工,黄河旋风,9,2
国防军工,晨曦航空,9,3
国防军工,新余国科,9,4
国防军工,宝色股份,9,5
科创50,传音控股,9,3
海峡西岸,金达威,9,5
含B股,江铃汽车,8,5
光伏概念,珈伟新能,8,4
光伏概念,晓程科技,8,5
黄河三角,蓝帆医疗,8,5
金融参股,黑牡丹,8,4
特斯拉,天汽模,8,5
军民融合,通光线缆,8,3
军民融合,通裕重工,8,4
军民融合,航天长峰,8,5
节能环保,联创股份,8,4
节能环保,云内动力,8,5
基金重仓,歌尔股份,8,4
基金重仓,长安汽车,8,5
新能源,亚太实业,8,5
重组概念,金盾股份,8,5
锂电池,西部资源,8,4
参股金融,妙可蓝多,8,4
业绩预升,赤峰黄金,8,3
业绩预升,金力泰,8,4
业绩预升,大湖股份,8,5
券商重仓,长虹美菱,8,5
信托重仓,王府井,8,5
社保重仓,三诺生物,8,4
社保重仓,海南海药,8,5
成渝特区,西部资源,8,3
成渝特区,通威股份,8,4
低碳经济,川能动力,8,4
军工航天,银邦股份,8,5
科创50,天奈科技,8,4
含GDR,易事特,7,4
含GDR,润邦股份,7,5
锂电池,澳柯玛,7,5
参股金融,百联股份,7,5
成渝特区,雅化集团,7,5
上海本地,强生控股,7,4
上海本地,申华控股,7,5
低碳经济,奥 特 迅,7,5
科创50,嘉元科技,7,5
金融参股,健康元,6,5
