stock_index,dadan_cnt,dt_cnt,last_date,avg_daily_dadan_cnt
s000536,16,12,2021-02-19,1.0
s000538,749,44,2021-02-23,17.0
s000539,5,2,2020-12-28,2.0
s000540,1,1,2020-12-31,1.0
s000541,3,3,2021-01-22,1.0
s000543,1,1,2020-12-25,1.0
s000545,34,18,2021-02-18,2.0
s000547,275,43,2021-02-23,6.0
s000550,36,18,2021-02-23,2.0
s000552,15,6,2020-12-30,2.0
s000555,2,2,2021-02-04,1.0
s000557,14,10,2021-02-22,1.0
s000558,14,3,2021-01-22,5.0
s000559,17,3,2021-01-27,6.0
s000560,2,1,2021-01-19,2.0
s000561,6,2,2021-01-14,3.0
s000563,1,1,2021-01-07,1.0
s000564,14,4,2021-02-23,4.0
s000566,7,5,2021-01-25,1.0
s000567,2,2,2021-01-29,1.0
s000568,4538,44,2021-02-23,103.0
s000570,24,9,2021-01-19,3.0
s000572,3,2,2021-02-03,2.0
s000573,7,3,2021-02-05,2.0
s000576,1,1,2021-01-12,1.0
s000581,61,10,2021-02-22,6.0
s000582,2,2,2021-02-19,1.0
s000584,13,8,2021-02-22,2.0
s000586,1,1,2021-01-27,1.0
s000589,15,8,2021-02-23,2.0
s000591,1249,43,2021-02-23,29.0
s000593,14,6,2021-01-04,2.0
s000596,232,41,2021-02-23,6.0
s000601,1,1,2020-12-29,1.0
s000603,40,10,2021-02-10,4.0
s000606,1,1,2021-01-08,1.0
s000610,1,1,2021-01-29,1.0
s000612,67,18,2021-02-23,4.0
s000613,5,2,2021-01-26,2.0
s000615,85,33,2021-02-23,3.0
s000616,1,1,2021-02-02,1.0
s000622,7,3,2021-02-18,2.0
s000623,15,12,2021-02-19,1.0
s000625,2051,44,2021-02-23,47.0
s000626,8,5,2021-02-09,2.0
s000629,24,14,2021-02-23,2.0
s000630,221,33,2021-02-23,7.0
s000633,31,18,2021-02-18,2.0
s000636,241,42,2021-02-23,6.0
s000637,1,1,2021-02-08,1.0
s000638,1,1,2020-12-31,1.0
s000639,13,4,2021-01-06,3.0
s000650,3,3,2021-01-22,1.0
s000651,1546,44,2021-02-23,35.0
s000652,24,11,2021-01-13,2.0
s000655,12,7,2020-12-31,2.0
s000656,29,17,2021-02-22,2.0
s000657,7,5,2021-02-23,1.0
s000659,2,2,2021-02-01,1.0
s000661,1955,44,2021-02-23,44.0
s000662,1,1,2020-12-23,1.0
s000665,1,1,2021-01-11,1.0
s000667,48,13,2021-02-23,4.0
s000668,4,3,2021-01-12,1.0
s000671,27,11,2021-02-19,2.0
s000672,17,7,2021-02-23,2.0
s000676,41,12,2021-02-19,3.0
s000677,1,1,2020-12-28,1.0
s000678,1,1,2020-12-21,1.0
s000680,19,11,2021-02-08,2.0
s000681,9,6,2021-02-22,2.0
s000682,1,1,2020-12-23,1.0
s000683,37,5,2021-02-23,7.0
s000685,1,1,2020-12-31,1.0
s000686,17,10,2021-02-02,2.0
s000688,6,5,2020-12-31,1.0
s000690,24,13,2021-02-19,2.0
s000691,28,8,2021-02-04,4.0
s000697,15,7,2021-02-01,2.0
s000698,85,16,2021-02-23,5.0
s000700,23,4,2021-01-13,6.0
s000702,12,5,2021-01-15,2.0
s000703,492,39,2021-02-23,13.0
s000708,9,7,2021-02-10,1.0
s000709,14,11,2021-02-22,1.0
s000710,15,10,2021-02-23,2.0
s000711,4,2,2021-02-23,2.0
s000712,86,25,2021-02-23,3.0
s000713,514,41,2021-02-23,13.0
s000715,1,1,2021-01-06,1.0
s000716,1,1,2021-01-05,1.0
s000717,8,3,2021-02-22,3.0
s000718,68,18,2021-02-23,4.0
s000720,2,1,2021-01-15,2.0
s000722,4,2,2020-12-21,2.0
s000723,428,41,2021-02-23,10.0
s000725,15155,44,2021-02-23,344.0
s000727,3,2,2021-02-22,2.0
s000728,39,19,2021-02-22,2.0
s000729,30,15,2021-02-23,2.0
s000732,5,3,2021-01-20,2.0
s000733,210,36,2021-02-23,6.0
s000735,15,7,2021-02-10,2.0
s000737,1,1,2021-02-19,1.0
s000738,197,36,2021-02-23,5.0
s000739,25,11,2021-02-23,2.0
s000750,174,32,2021-02-22,5.0
s000751,8,6,2021-02-22,1.0
s000757,1,1,2020-12-17,1.0
s000758,63,19,2021-02-23,3.0
s000762,209,35,2021-02-23,6.0
s000766,1,1,2021-02-01,1.0
s000767,181,26,2021-02-18,7.0
s000768,841,44,2021-02-23,19.0
s000776,565,44,2021-02-23,13.0
s000777,1,1,2021-02-05,1.0
s000778,2,2,2021-02-22,1.0
s000780,4,3,2021-01-21,1.0
s000783,39,16,2021-02-22,2.0
s000785,2,1,2021-01-26,2.0
s000786,97,31,2021-02-23,3.0
s000788,1,1,2021-02-01,1.0
s000789,6,5,2021-02-22,1.0
s000791,26,9,2021-01-07,3.0
s000793,2,2,2021-01-29,1.0
s000795,9,5,2021-02-22,2.0
s000798,31,19,2021-02-19,2.0
s000799,2399,44,2021-02-23,55.0
s000800,19,11,2021-02-18,2.0
s000802,9,3,2021-02-22,3.0
s000807,279,43,2021-02-23,6.0
s000810,1,1,2021-01-21,1.0
s000811,16,10,2021-01-08,2.0
s000812,80,20,2021-02-22,4.0
s000813,8,7,2020-12-31,1.0
s000815,3,1,2021-01-06,3.0
s000816,198,24,2021-02-23,8.0
s000818,46,25,2021-02-23,2.0
s000821,53,11,2021-01-11,5.0
s000822,6,4,2021-02-23,2.0
s000825,10,4,2021-02-22,2.0
s000828,4,4,2021-02-09,1.0
s000829,1,1,2021-01-19,1.0
s000830,183,42,2021-02-23,4.0
s000831,418,37,2021-02-23,11.0
s000836,1,1,2021-02-18,1.0
s000839,2,2,2021-01-21,1.0
s000848,7,3,2020-12-21,2.0
s000850,1,1,2020-12-16,1.0
s000851,5,5,2021-01-25,1.0
s000858,12763,44,2021-02-23,290.0
s000859,4,2,2021-01-18,2.0
s000860,173,33,2021-02-22,5.0
s000861,2,2,2021-01-29,1.0
s000862,13,6,2021-02-01,2.0
s000868,3,3,2020-12-29,1.0
s000869,20,15,2021-02-02,1.0
s000875,10,6,2021-02-22,2.0
s000876,589,44,2021-02-23,13.0
s000877,54,24,2021-02-23,2.0
s000878,191,28,2021-02-23,7.0
s000881,45,13,2021-02-08,3.0
s000882,1,1,2021-01-19,1.0
s000883,1,1,2021-01-07,1.0
s000887,20,12,2021-02-18,2.0
s000889,1,1,2021-02-22,1.0
s000892,12,5,2021-02-18,2.0
s000893,21,7,2021-02-23,3.0
s000895,256,43,2021-02-23,6.0
s000898,12,4,2021-02-23,3.0
s000899,29,12,2021-01-07,2.0
s000901,18,9,2021-02-01,2.0
s000902,22,16,2021-02-23,1.0
s000903,10,6,2021-01-22,2.0
s000908,29,8,2021-02-23,4.0
s000910,6,4,2021-02-23,2.0
s000912,4,1,2021-02-23,4.0
s000913,7,6,2021-02-23,1.0
s000918,5,5,2021-02-22,1.0
s000919,10,2,2020-12-21,5.0
s000921,7,4,2021-02-18,2.0
s000922,1,1,2021-02-03,1.0
s000923,51,24,2021-02-23,2.0
s000927,25,8,2021-01-11,3.0
s000928,11,4,2021-01-29,3.0
s000929,17,5,2020-12-25,3.0
s000930,149,37,2021-02-23,4.0
s000931,3,1,2021-02-19,3.0
s000932,49,14,2021-02-23,4.0
s000933,154,31,2021-02-23,5.0
s000936,3,2,2020-12-23,2.0
s000937,7,5,2021-02-23,1.0
s000938,170,40,2021-02-23,4.0
s000949,18,4,2021-02-23,4.0
s000951,88,23,2021-02-22,4.0
s000955,13,6,2021-01-21,2.0
s000957,16,6,2021-01-29,3.0
s000958,7,3,2020-12-29,2.0
s000959,2,2,2021-02-22,1.0
s000960,244,37,2021-02-23,7.0
s000961,8,5,2021-02-22,2.0
s000962,4,2,2021-02-22,2.0
s000963,380,37,2021-02-23,10.0
s000966,7,3,2021-01-27,2.0
s000967,5,4,2021-02-22,1.0
s000969,5,4,2021-01-22,1.0
s000970,37,11,2021-02-23,3.0
s000973,4,1,2020-12-28,4.0
s000975,48,21,2021-02-23,2.0
s000976,11,6,2021-02-18,2.0
s000977,598,43,2021-02-23,14.0
s000980,8,7,2021-02-19,1.0
s000981,2,2,2021-02-02,1.0
s000983,85,28,2021-02-23,3.0
s000985,2,2,2021-02-08,1.0
s000987,81,27,2021-02-23,3.0
s000988,81,35,2021-02-23,2.0
s000990,4,2,2021-02-04,2.0
s000993,21,6,2021-01-04,4.0
s000995,173,27,2021-02-23,6.0
s000996,12,5,2021-02-08,2.0
s000997,6,4,2021-01-26,2.0
s000998,287,43,2021-02-23,7.0
s000999,10,7,2021-02-18,1.0
s001896,571,43,2021-02-23,13.0
s001914,13,7,2021-01-28,2.0
s001979,12,9,2021-02-03,1.0
s002001,190,39,2021-02-23,5.0
s002002,90,21,2021-02-23,4.0
s002004,2,2,2021-01-26,1.0
s002006,4,4,2021-02-08,1.0
s002007,521,44,2021-02-23,12.0
s002008,467,42,2021-02-23,11.0
s002009,11,6,2021-01-07,2.0
s002010,13,9,2021-02-18,1.0
s002011,1,1,2020-12-30,1.0
s002013,344,39,2021-02-23,9.0
s002015,8,5,2021-02-23,2.0
s002016,1,1,2021-01-13,1.0
s002017,25,9,2021-01-21,3.0
s002019,41,22,2021-02-10,2.0
s002022,15,9,2021-02-05,2.0
s002023,22,12,2021-01-25,2.0
s002024,37,23,2021-02-22,2.0
