267,申万宏源投资管理（亚洲）有限公司,Shenwan Hongyuan Asset Management (Asia) Limited,香港,工商银行,2014/12/30
268,宾夕法尼亚大学校董会,Trustees of the University of Pennsylvania,美国,汇丰银行,2015/1/5
269,广发资产管理（香港）有限公司,GF Asset Management (Hong Kong) Limited,香港,工商银行,2015/1/7
270,麦盛资产管理（亚洲）有限公司,Munsun Asset Management (Asia) Limited,香港,兴业银行,2015/1/22
271,玉山商业银行股份有限公司,"E.SUN COMMERCIAL BANK, LTD.",台湾,中国银行,2015/2/27
272,汇添富资产管理（香港）有限公司,China Universal Asset Management (Hong Kong) Company Limited,香港,建设银行,2015/2/27
273,加利福尼亚大学校董会,The Regents of the University of California,美国,德意志银行,2015/3/25
274,富国资产管理（香港）有限公司,Fullgoal Asset Management (HK) Limited,香港,汇丰银行,2015/4/8
275,文莱投资局,Brunei Investment Agency,文莱,渣打银行,2015/5/7
276,台湾银行股份有限公司,Bank of Taiwan,台湾,汇丰银行,2015/5/20
277,淡水泉（香港）投资管理有限公司,Springs Capital (Hong Kong) Limited,香港,汇丰银行,2015/5/20
278,安联证券投资信托股份有限公司,Allianz Global Investors Taiwan Limited,台湾,德意志银行,2015/5/21
279,安信资产管理（香港）有限公司,Essence Asset Management (Hong Kong) Limited,香港,汇丰银行,2015/6/2
280,日盛证券投资信托股份有限公司,"Jih Sun Securities Investment Trust Co., Ltd",台湾,德意志银行,2015/6/2
281,泛亚投资管理有限公司,General Oriental Investments SA,瑞士,汇丰银行,2015/6/29
282,建银国际资产管理有限公司,CCB International Asset Management Limited,香港,工商银行,2015/7/28
283,忠诚保险有限公司,"Fidelidade-Companhia de Seguros, S.A.",葡萄牙,工商银行,2015/8/31
284,挚信投资顾问（香港）有限公司,TBP Investment Advisory (HK) Limited,香港,工商银行,2015/10/12
285,瀚亚证券投资信托股份有限公司,Eastspring Securities Investment Trust Co. Ltd.,台湾,汇丰银行,2015/11/2
286,柏瑞证券投资信托股份有限公司,PineBridge Investments Management Taiwan Limited,台湾,德意志银行,2015/11/24
287,农银国际资产管理有限公司,ABCI Asset Management Limited,香港,中国银行,2015/11/24
288,融通国际资产管理有限公司,Rongtong Global Investment Limited,香港,工商银行,2016/1/15
289,国泰全球投资管理有限公司,Guotai Global Investments Limited,香港,建设银行,2016/3/17
290,第一商业银行股份有限公司,"First Commercial Bank, Ltd.",台湾,汇丰银行,2016/5/3
